,time,twl
0,2018-11-19 00:00:00,9.075
1,2018-11-19 00:06:00,8.891
2,2018-11-19 00:12:00,8.698
3,2018-11-19 00:18:00,8.497
4,2018-11-19 00:24:00,8.284
5,2018-11-19 00:30:00,8.058
6,2018-11-19 00:36:00,7.828
7,2018-11-19 00:42:00,7.598
8,2018-11-19 00:48:00,7.365
9,2018-11-19 00:54:00,7.146
10,2018-11-19 01:00:00,6.923
11,2018-11-19 01:06:00,6.703
12,2018-11-19 01:12:00,6.486
13,2018-11-19 01:18:00,6.28
14,2018-11-19 01:24:00,6.079
15,2018-11-19 01:30:00,5.866
16,2018-11-19 01:36:00,5.659
17,2018-11-19 01:42:00,5.463
18,2018-11-19 01:48:00,5.262
19,2018-11-19 01:54:00,5.062
20,2018-11-19 02:00:00,4.879
21,2018-11-19 02:06:00,4.695
22,2018-11-19 02:12:00,4.521
23,2018-11-19 02:18:00,4.357
24,2018-11-19 02:24:00,4.199
25,2018-11-19 02:30:00,4.052
26,2018-11-19 02:36:00,3.904
27,2018-11-19 02:42:00,3.78
28,2018-11-19 02:48:00,3.645
29,2018-11-19 02:54:00,3.524
30,2018-11-19 03:00:00,3.415
31,2018-11-19 03:06:00,3.31
32,2018-11-19 03:12:00,3.222
33,2018-11-19 03:18:00,3.153
34,2018-11-19 03:24:00,3.077
35,2018-11-19 03:30:00,3.012
36,2018-11-19 03:36:00,2.966
37,2018-11-19 03:42:00,2.917
38,2018-11-19 03:48:00,2.887
39,2018-11-19 03:54:00,2.854
40,2018-11-19 04:00:00,2.838
41,2018-11-19 04:06:00,2.828
42,2018-11-19 04:12:00,2.822
43,2018-11-19 04:18:00,2.822
44,2018-11-19 04:24:00,2.835
45,2018-11-19 04:30:00,2.858
46,2018-11-19 04:36:00,2.907
47,2018-11-19 04:42:00,2.959
48,2018-11-19 04:48:00,3.018
49,2018-11-19 04:54:00,3.084
50,2018-11-19 05:00:00,3.159
51,2018-11-19 05:06:00,3.238
52,2018-11-19 05:12:00,3.323
53,2018-11-19 05:18:00,3.415
54,2018-11-19 05:24:00,3.51
55,2018-11-19 05:30:00,3.606
56,2018-11-19 05:36:00,3.717
57,2018-11-19 05:42:00,3.822
58,2018-11-19 05:48:00,3.921
59,2018-11-19 05:54:00,4.019
60,2018-11-19 06:00:00,4.127
61,2018-11-19 06:06:00,4.245
62,2018-11-19 06:12:00,4.37
63,2018-11-19 06:18:00,4.498
64,2018-11-19 06:24:00,4.646
65,2018-11-19 06:30:00,4.793
66,2018-11-19 06:36:00,4.938
67,2018-11-19 06:42:00,5.102
68,2018-11-19 06:48:00,5.249
69,2018-11-19 06:54:00,5.41
70,2018-11-19 07:00:00,5.587
71,2018-11-19 07:06:00,5.764
72,2018-11-19 07:12:00,5.925
73,2018-11-19 07:18:00,6.083
74,2018-11-19 07:24:00,6.247
75,2018-11-19 07:30:00,6.427
76,2018-11-19 07:36:00,6.621
77,2018-11-19 07:42:00,6.788
78,2018-11-19 07:48:00,6.949
79,2018-11-19 07:54:00,7.096
80,2018-11-19 08:00:00,7.251
81,2018-11-19 08:06:00,7.405
82,2018-11-19 08:12:00,7.539
83,2018-11-19 08:18:00,7.674
84,2018-11-19 08:24:00,7.808
85,2018-11-19 08:30:00,7.94
86,2018-11-19 08:36:00,8.058
87,2018-11-19 08:42:00,8.163
88,2018-11-19 08:48:00,8.264
89,2018-11-19 08:54:00,8.363
90,2018-11-19 09:00:00,8.445
91,2018-11-19 09:06:00,8.537
92,2018-11-19 09:12:00,8.612
93,2018-11-19 09:18:00,8.681
94,2018-11-19 09:24:00,8.757
95,2018-11-19 09:30:00,8.816
96,2018-11-19 09:36:00,8.858
97,2018-11-19 09:42:00,8.898
98,2018-11-19 09:48:00,8.924
99,2018-11-19 09:54:00,8.957
100,2018-11-19 10:00:00,8.976
101,2018-11-19 10:06:00,8.993
102,2018-11-19 10:12:00,8.996
103,2018-11-19 10:18:00,8.99
104,2018-11-19 10:24:00,8.983
105,2018-11-19 10:30:00,8.97
106,2018-11-19 10:36:00,8.937
107,2018-11-19 10:42:00,8.898
108,2018-11-19 10:48:00,8.862
109,2018-11-19 10:54:00,8.809
110,2018-11-19 11:00:00,8.757
111,2018-11-19 11:06:00,8.704
112,2018-11-19 11:12:00,8.638
113,2018-11-19 11:18:00,8.573
114,2018-11-19 11:24:00,8.504
115,2018-11-19 11:30:00,8.428
116,2018-11-19 11:36:00,8.36
117,2018-11-19 11:42:00,8.284
118,2018-11-19 11:48:00,8.205
119,2018-11-19 11:54:00,8.12
120,2018-11-19 12:00:00,8.025
121,2018-11-19 12:06:00,7.923
122,2018-11-19 12:12:00,7.818
123,2018-11-19 12:18:00,7.71
124,2018-11-19 12:24:00,7.602
125,2018-11-19 12:30:00,7.49
126,2018-11-19 12:36:00,7.369
127,2018-11-19 12:42:00,7.257
128,2018-11-19 12:48:00,7.133
129,2018-11-19 12:54:00,7.008
130,2018-11-19 13:00:00,6.896
131,2018-11-19 13:06:00,6.785
132,2018-11-19 13:12:00,6.654
133,2018-11-19 13:18:00,6.532
134,2018-11-19 13:24:00,6.407
135,2018-11-19 13:30:00,6.273
136,2018-11-19 13:36:00,6.132
137,2018-11-19 13:42:00,6.01
138,2018-11-19 13:48:00,5.886
139,2018-11-19 13:54:00,5.755
140,2018-11-19 14:00:00,5.636
141,2018-11-19 14:06:00,5.535
142,2018-11-19 14:12:00,5.404
143,2018-11-19 14:18:00,5.295
144,2018-11-19 14:24:00,5.203
145,2018-11-19 14:30:00,5.095
146,2018-11-19 14:36:00,5.007
147,2018-11-19 14:42:00,4.931
148,2018-11-19 14:48:00,4.852
