time,Direction [deg],Gusts [m/s],Speed [m/s]
2019-02-13 14:54:00+00:00,114.0,4.0,3.2
2019-02-13 15:00:00+00:00,108.0,3.8,3.2
2019-02-13 15:06:00+00:00,113.0,3.6,3.2
2019-02-13 15:12:00+00:00,122.0,3.5,3.1
2019-02-13 15:18:00+00:00,122.0,3.4,3.0
2019-02-13 15:24:00+00:00,113.0,3.4,2.8
2019-02-13 15:30:00+00:00,117.0,2.9,2.1
2019-02-13 15:36:00+00:00,115.0,2.7,2.4
2019-02-13 15:42:00+00:00,118.0,2.5,2.2
2019-02-13 15:48:00+00:00,116.0,2.3,2.0
2019-02-13 15:54:00+00:00,119.0,2.0,1.3
2019-02-13 16:00:00+00:00,118.0,2.2,1.8
2019-02-13 16:06:00+00:00,127.0,2.3,2.0
2019-02-13 16:12:00+00:00,129.0,2.5,2.4
2019-02-13 16:18:00+00:00,127.0,2.8,2.0
2019-02-13 16:24:00+00:00,133.0,2.4,2.1
2019-02-13 16:30:00+00:00,146.0,2.1,1.6
2019-02-13 16:36:00+00:00,152.0,2.0,1.3
2019-02-13 16:42:00+00:00,165.0,1.3,1.1
2019-02-13 16:48:00+00:00,189.0,1.2,1.0
2019-02-13 16:54:00+00:00,187.0,1.9,1.4
2019-02-13 17:00:00+00:00,187.0,1.8,1.3
2019-02-13 17:06:00+00:00,188.0,1.6,1.5
2019-02-13 17:12:00+00:00,194.0,1.6,1.1
2019-02-13 17:18:00+00:00,183.0,1.3,0.6
2019-02-13 17:24:00+00:00,163.0,0.8,0.0
2019-02-13 17:30:00+00:00,116.0,0.3,0.1
2019-02-13 17:36:00+00:00,90.0,0.6,0.1
2019-02-13 17:42:00+00:00,53.0,1.8,1.3
2019-02-13 17:48:00+00:00,83.0,2.0,1.8
2019-02-13 17:54:00+00:00,92.0,2.1,1.3
2019-02-13 18:00:00+00:00,94.0,1.9,1.1
2019-02-13 18:06:00+00:00,84.0,2.4,2.2
2019-02-13 18:12:00+00:00,98.0,2.4,1.9
2019-02-13 18:18:00+00:00,101.0,2.5,1.9
2019-02-13 18:24:00+00:00,91.0,2.7,2.3
2019-02-13 18:30:00+00:00,103.0,2.9,2.4
2019-02-13 18:36:00+00:00,106.0,2.7,1.1
2019-02-13 18:42:00+00:00,96.0,2.1,1.7
2019-02-13 18:48:00+00:00,89.0,1.9,1.5
2019-02-13 18:54:00+00:00,112.0,2.1,1.5
2019-02-13 19:00:00+00:00,122.0,2.1,1.7
2019-02-13 19:06:00+00:00,110.0,2.4,1.9
2019-02-13 19:12:00+00:00,115.0,2.9,2.3
2019-02-13 19:18:00+00:00,103.0,3.2,2.5
2019-02-13 19:24:00+00:00,109.0,2.8,2.2
2019-02-13 19:30:00+00:00,108.0,3.0,2.3
2019-02-13 19:36:00+00:00,97.0,3.1,2.2
2019-02-13 19:42:00+00:00,85.0,3.0,1.8
2019-02-13 19:48:00+00:00,89.0,2.6,1.8
2019-02-13 19:54:00+00:00,86.0,2.1,1.3
2019-02-13 20:00:00+00:00,58.0,2.6,1.7
2019-02-13 20:06:00+00:00,47.0,2.3,1.7
2019-02-13 20:12:00+00:00,51.0,2.9,2.4
2019-02-13 20:18:00+00:00,73.0,3.7,3.1
2019-02-13 20:24:00+00:00,81.0,4.5,3.7
2019-02-13 20:30:00+00:00,91.0,4.6,3.0
2019-02-13 20:36:00+00:00,85.0,4.6,3.4
2019-02-13 20:42:00+00:00,83.0,4.9,3.9
2019-02-13 20:48:00+00:00,81.0,4.7,3.1
2019-02-13 20:54:00+00:00,93.0,5.0,2.6
2019-02-13 21:00:00+00:00,79.0,4.4,3.9
2019-02-13 21:06:00+00:00,85.0,4.7,3.1
2019-02-13 21:12:00+00:00,91.0,4.7,3.3
2019-02-13 21:18:00+00:00,92.0,4.6,3.4
2019-02-13 21:24:00+00:00,91.0,4.1,2.7
2019-02-13 21:30:00+00:00,84.0,4.0,3.3
2019-02-13 21:36:00+00:00,79.0,4.2,3.0
2019-02-13 21:42:00+00:00,59.0,4.1,3.4
2019-02-13 21:48:00+00:00,72.0,3.9,3.3
2019-02-13 21:54:00+00:00,82.0,3.9,2.7
2019-02-13 22:00:00+00:00,75.0,4.0,2.9
2019-02-13 22:06:00+00:00,62.0,3.9,3.0
2019-02-13 22:12:00+00:00,75.0,4.6,3.4
2019-02-13 22:18:00+00:00,80.0,5.4,4.1
2019-02-13 22:24:00+00:00,85.0,5.0,3.4
2019-02-13 22:30:00+00:00,85.0,5.4,4.1
2019-02-13 22:36:00+00:00,90.0,5.6,4.2
2019-02-13 22:42:00+00:00,89.0,5.6,4.1
2019-02-13 22:48:00+00:00,88.0,6.6,4.3
